Prices, Tokens
0.7751662950523354, 310.3774235773558
0.7959418827374861, 247.5266797777278
0.9660157956821601, 240.02205251969778
0.8512689828229005, 204.61074831749204
0.9207524047152216, 196.3926100512543
0.9206116974581761, 177.5825619584371
1.1186714937191764, 199.70204410656166
1.1908894135032613, 238.63893734623085
1.186184036336585, 283.9265693964877
1.163616644316363, 331.0747033148367
1.291933618131304, 458.4969066526651
1.3765315641093363, 633.7907955157698
1.234784927623899, 789.6320914973628
1.2894515482148041, 1042.1720417966105
1.2085027027099897, 1278.7419748328068
1.2493097275193763, 1613.9644482380324
1.3632033087264521, 2208.310275214034
1.4438957299393689, 3224.464922692073
1.312424518936123, 4287.402570650852
1.0777349341408555, 4666.582413502806
